Site,City,ju18_1,ju18_2,ju18_3,ju18_4,oc18_1,oc18_2,oc18_3,oc18_4,ja19_1,ja19_2,ja19_3,ja19_4,ap19_1,ap19_2,ap19_3,ap19_4,ju19_1,ju19_2,ju19_3,ju19_4,oc19_1,oc19_2,oc19_3,oc19_4,ja20_1,ja20_2,ja20_3,ja20_4,ap20_1,ap20_2,ap20_3,ap20_4,ju20_1,ju20_2,ju20_3,ju20_4
C01-EML,autx,0,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C01-WBP,autx,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
C02-BOG,autx,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
C02-PEA,autx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA
C02-ZIL,autx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
C03-MON,autx,0,0,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0
C03-ONI,autx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
H02-BLU,autx,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
WL10-HIG,autx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
WL1-DEL,autx,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
WL4-UTA,autx,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
WL8-WRI,autx,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
WL9-REI,autx,0,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,1,0,NA,NA,NA,0,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BCG,autx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
BRDP,autx,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA
BRP,autx,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,autx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA
CRWS,autx,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0
DNP,autx,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
GVP,autx,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
MFBCP,autx,1,0,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1
SONP,autx,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TNP,autx,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WBCG,autx,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berg,autx,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OSA,autx,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
C04-MBP1,chil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C05-BMP1,chil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
C05-BMP2,chil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,1,0,0,0,0
C05-SPA1,chil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
C06-HMP1,chil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D02-BMT1,chil,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,0,0,0,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,1,1,1,1
D02-HUP0,chil,1,0,1,1,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0
D02-JBS1,chil,NA,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA
D02-MOP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
D02-RCP1,chil,0,0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0
D02-SCP1,chil,0,0,0,0,NA,NA,NA,NA,1,0,0,NA,1,1,1,1,0,1,0,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,0,0,0,0
D03-AFP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA
D03-AMP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
D03-CHP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03-GOM1,chil,0,0,0,0,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,0
D03-NPV1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,0
D03-STB1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
D04-DNP1,chil,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0
D04-EDW0,chil,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0
D04-RDP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA
D04-ROS0,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,1,0,0,0
D05-ADC2,chil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
D05-BRP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
D05-MIA1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
D05-PRC1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,NA,0,0,0,0
D06-KCG1,chil,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,0,0,NA,NA
D07-ASC0,chil,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
D07-NOC1,chil,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,0
D08-CCC1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0
D08-DAW0,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
D08-DAW2,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,0,0,0,0
D09-CLG0,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
D09-RYW1,chil,1,1,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
D09-VTC1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
D10-CAN0,chil,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,1,1,1
D10-MAC1,chil,0,1,0,0,NA,NA,NA,NA,1,NA,0,0,1,1,1,0,0,0,0,NA,0,0,0,0,1,0,1,1,NA,NA,NA,NA,0,0,0,0
D10-VHC1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
J01-BBS1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
J01-LMP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
J01-NOR1,chil,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
J01-SEP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
J01-SKP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0
J01-UIC1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
R02-DPG1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
R02-FRP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
R02-HRF1,chil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
R03-AUP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0
R03-CPG1,chil,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,0,0,1,1,1,1,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
R03-EUC1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA
R03-MAP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
R04-MMW0,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,0,0,1,1
R04-MMW3,chil,0,0,1,1,NA,NA,NA,NA,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0
R04-SCH1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
R05-FMG1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,1,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0
R05-GOC1,chil,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,0,0,0,0
R05-STP1,chil,0,0,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R06-OTB1,chil,1,1,1,0,NA,NA,NA,NA,0,1,1,NA,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
R06-SLT2,chil,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,NA,NA,NA,0,0,0,0
R06-YOW1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
R07-FSP1,chil,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,0,0,0,0
R07-GOF1,chil,0,0,0,0,NA,NA,NA,NA,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
R07-MMP1,chil,1,1,0,0,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,1,1
R07-YHR1,chil,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0
R08-DAP1,chil,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
R08-PAP1,chil,0,1,0,0,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
R08-VLG1,chil,0,0,0,0,NA,NA,NA,NA,1,1,1,0,1,1,1,1,NA,NA,NA,NA,1,1,1,1,0,1,1,1,NA,NA,NA,NA,0,0,0,0
R08-WBK1,chil,0,0,1,1,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
R09-BLW1,chil,1,1,1,1,NA,NA,NA,NA,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,0,0,1,1
R09-CTG0,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,NA,1,NA,NA,NA,NA,0,0,0,0
R09-LIM0,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,0,0,0,1
R09-SMI1,chil,1,1,0,0,NA,NA,NA,NA,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,NA,NA,NA,NA,0,1,1,1
R10-FRM1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,0,0,0
R10-FRM2,chil,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0
R10-WCP0,chil,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0
R10-WDW0,chil,0,0,0,0,NA,NA,NA,NA,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0
S02-BNS1,chil,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,0
S02-BRI1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
S02-PIP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,NA,NA,NA,NA,0,0,0,0
S02-PLP1,chil,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
S02-TNW1,chil,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0
S03-JKP2,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
S03-LCP1,chil,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
S03-PSP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0
S03-VIP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
S03-WAP1,chil,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
S04-HAP1,chil,0,0,0,0,NA,NA,NA,NA,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
S04-OTW1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
S04-SSP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0,0,1,1
S05-LNC1,chil,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
S05-RES1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
S05-SFP0,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
S06-CBW0,chil,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0,0,1,1,1,1,1,1,NA,NA,NA,NA,0,0,0,0
